"","exists","weblink_au"
"143",TRUE,"https://wikipedia.org/wiki/Lee_Kuan_Yew_School_of_Public_Policy"
"144",TRUE,"https://wikipedia.org/wiki/Hertie_School"
"145",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"147",TRUE,"https://wikipedia.org/wiki/Lee_Kuan_Yew_School_of_Public_Policy"
"148",TRUE,"https://wikipedia.org/wiki/Hertie_School"
"149",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"150",TRUE,"https://wikipedia.org/wiki/United_Nations_Department_of_Economic_and_Social_Affairs"
"151",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"
"152",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"153",TRUE,"https://wikipedia.org/wiki/United_Nations_Department_of_Economic_and_Social_Affairs"
"154",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"
"155",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"156",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"157",TRUE,"https://wikipedia.org/wiki/United_Nations_Industrial_Development_Organization"
"158",TRUE,"https://wikipedia.org/wiki/United_Nations_Industrial_Development_Organization"
"159",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"160",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"161",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"162",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"163",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"164",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"167",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"168",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"171",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"
"172",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean"
"173",TRUE,"https://wikipedia.org/wiki/World_Bank_Group"
"175",TRUE,"https://wikipedia.org/wiki/World_Bank_Group"
"178",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"179",TRUE,"https://wikipedia.org/wiki/World_Meteorological_Organization"
"181",TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"
"182",TRUE,"https://wikipedia.org/wiki/World_Meteorological_Organization"
"183",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"184",TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"
"185",TRUE,"https://wikipedia.org/wiki/United_Nations_Children’s_Fund"
"186",TRUE,"https://wikipedia.org/wiki/United_Nations_Children’s_Fund"
