"","exists","weblink_au"
"144",TRUE,"https://wikipedia.org/wiki/London_School_of_Economics_and_Political_Science"
"145",TRUE,"https://wikipedia.org/wiki/University_of_Cape_Town"
"146",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"147",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"148",TRUE,"https://wikipedia.org/wiki/United_Nations_Development_Programme"
"149",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"150",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"151",TRUE,"https://wikipedia.org/wiki/Tulane_University"
"152",TRUE,"https://wikipedia.org/wiki/GiveDirectly"
"153",TRUE,"https://wikipedia.org/wiki/Sunway_University"
"154",TRUE,"https://wikipedia.org/wiki/Brookings_Institution"
"155",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"156",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"157",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"158",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"159",TRUE,"https://wikipedia.org/wiki/Boston_College"
"160",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"161",TRUE,"https://wikipedia.org/wiki/Harvard_University"
"162",FALSE,"https://wikipedia.org/wiki/Former_UN_Secretary-General"
"163",FALSE,"https://wikipedia.org/wiki/Former_Prime_Minister_of_Norway"
"164",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"165",FALSE,"https://wikipedia.org/wiki/Former_President_of_Colombia"
"166",TRUE,"https://wikipedia.org/wiki/Unilever"
"167",TRUE,"https://wikipedia.org/wiki/Penn_State_University"
"168",FALSE,"https://wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo"
"169",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"170",TRUE,"https://wikipedia.org/wiki/University_of_Oxford"
"171",TRUE,"https://wikipedia.org/wiki/Natural_Resource_Governance_Institute"
"172",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"173",FALSE,"https://wikipedia.org/wiki/Kailash_Satyarthi_Children's_Foundation"
"174",TRUE,"https://wikipedia.org/wiki/International_Labour_Organization"
"175",TRUE,"https://wikipedia.org/wiki/Ahmedabad_University"
"176",TRUE,"https://wikipedia.org/wiki/Harvard_University"
"177",TRUE,"https://wikipedia.org/wiki/University_of_Oxford"
"178",TRUE,"https://wikipedia.org/wiki/University_of_Gothenburg"
"179",TRUE,"https://wikipedia.org/wiki/Harvard_University"
"180",TRUE,"https://wikipedia.org/wiki/World_Conference_of_Religions_for_Peace"
"181",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"182",FALSE,"https://wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo"
"183",FALSE,"https://wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo"
"184",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"185",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"186",TRUE,"https://wikipedia.org/wiki/UNU-WIDER"
"187",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"188",FALSE,"https://wikipedia.org/wiki/Natural_Resource_Governance_Institute_(NRGI)"
"189",FALSE,"https://wikipedia.org/wiki/the_Columbia_Center_on_Sustainable_Investment_(CCSI)"
"190",FALSE,"https://wikipedia.org/wiki/the_CONNEX_Support_Unit"
"191",TRUE,"https://wikipedia.org/wiki/GIZ"
"192",TRUE,"https://wikipedia.org/wiki/the_European_Union"
