"","exists","weblink_au"
"176",TRUE,"https://wikipedia.org/wiki/International_Labour_Organization"
"177",TRUE,"https://wikipedia.org/wiki/Ahmedabad_University"
"178",TRUE,"https://wikipedia.org/wiki/Harvard_University"
"179",TRUE,"https://wikipedia.org/wiki/University_of_Oxford"
"180",TRUE,"https://wikipedia.org/wiki/University_of_Gothenburg"
"181",TRUE,"https://wikipedia.org/wiki/Harvard_University"
"182",TRUE,"https://wikipedia.org/wiki/World_Conference_of_Religions_for_Peace"
"183",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"186",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"187",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"188",TRUE,"https://wikipedia.org/wiki/UNU-WIDER"
"189",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"193",TRUE,"https://wikipedia.org/wiki/GIZ"
"194",TRUE,"https://wikipedia.org/wiki/the_European_Union"
"195",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"196",TRUE,"https://wikipedia.org/wiki/Natural_Resource_Governance_Institute"
"198",TRUE,"https://wikipedia.org/wiki/University_of_Oxford"
"199",TRUE,"https://wikipedia.org/wiki/Natural_Resource_Governance_Institute"
"200",TRUE,"https://wikipedia.org/wiki/Natural_Resource_Governance_Institute"
"202",TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa"
"204",TRUE,"https://wikipedia.org/wiki/University_of_the_Philippines"
"205",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"206",TRUE,"https://wikipedia.org/wiki/New_York_University"
"207",TRUE,"https://wikipedia.org/wiki/New_York_University"
"208",TRUE,"https://wikipedia.org/wiki/Harvard_University"
"209",TRUE,"https://wikipedia.org/wiki/Harvard_University"
"210",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"213",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"214",TRUE,"https://wikipedia.org/wiki/University_of_Exeter"
"216",TRUE,"https://wikipedia.org/wiki/Ain_Shams_University"
