"","titles","authors","au_category","piece","weblink","id.id","id.titles","id.authors","id.au_category","id.piece","id.weblink"
"168","Sustainable Food Systems: A Mediterranean Perspective","Universit<U+653C><U+3E30> degli Studi di Siena","Universit<U+653C><U+3E30> degli Studi di Siena","Universit<U+653C><U+3E30>_degli_Studi_di_Siena","https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Siena",168,Sustainable Food Systems: A Mediterranean Perspective,Universit<U+653C><U+3E30> degli Studi di Siena,Universit<U+653C><U+3E30> degli Studi di Siena,Universit<U+653C><U+3E30>_degli_Studi_di_Siena,https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Siena
"169","One Planet, One Ocean","Kiel University","Kiel University","Kiel_University","https://wikipedia.org/wiki/Kiel_University",169,One Planet, One Ocean,Kiel University,Kiel University,Kiel_University,https://wikipedia.org/wiki/Kiel_University
"170","One Planet, One Ocean","International Ocean Institute","International Ocean Institute","International_Ocean_Institute","https://wikipedia.org/wiki/International_Ocean_Institute",170,One Planet, One Ocean,International Ocean Institute,International Ocean Institute,International_Ocean_Institute,https://wikipedia.org/wiki/International_Ocean_Institute
"171","One Planet, One Ocean","GEOMAR","GEOMAR","GEOMAR","https://wikipedia.org/wiki/GEOMAR",171,One Planet, One Ocean,GEOMAR,GEOMAR,GEOMAR,https://wikipedia.org/wiki/GEOMAR
"172","Macroeconomics for a Sustainable Planet","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",172,Macroeconomics for a Sustainable Planet,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"173","Macroeconomics for a Sustainable Planet","Federal Government of Chile","Federal Government of Chile","Federal_Government_of_Chile","https://wikipedia.org/wiki/Federal_Government_of_Chile",173,Macroeconomics for a Sustainable Planet,Federal Government of Chile,Federal Government of Chile,Federal_Government_of_Chile,https://wikipedia.org/wiki/Federal_Government_of_Chile
"174","Cities and the Challenge of Sustainable Development","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",174,Cities and the Challenge of Sustainable Development,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"175","Climate Action: Solutions for a Changing Planet","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",175,Climate Action: Solutions for a Changing Planet,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"176","Climate Action: Solutions for a Changing Planet","University of California - San Francisco","University of California - San Francisco","University_of_California_-_San_Francisco","https://wikipedia.org/wiki/University_of_California_-_San_Francisco",176,Climate Action: Solutions for a Changing Planet,University of California - San Francisco,University of California - San Francisco,University_of_California_-_San_Francisco,https://wikipedia.org/wiki/University_of_California_-_San_Francisco
"177","Climate Action: Solutions for a Changing Planet","World Business Council for Sustainable Development","World Business Council for Sustainable Development","World_Business_Council_for_Sustainable_Development","https://wikipedia.org/wiki/World_Business_Council_for_Sustainable_Development",177,Climate Action: Solutions for a Changing Planet,World Business Council for Sustainable Development,World Business Council for Sustainable Development,World_Business_Council_for_Sustainable_Development,https://wikipedia.org/wiki/World_Business_Council_for_Sustainable_Development
"178","Climate Action: Solutions for a Changing Planet","International Institute for Applied Systems Analysis","International Institute for Applied Systems Analysis","International_Institute_for_Applied_Systems_Analysis","https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis",178,Climate Action: Solutions for a Changing Planet,International Institute for Applied Systems Analysis,International Institute for Applied Systems Analysis,International_Institute_for_Applied_Systems_Analysis,https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis
"179","Climate Action: Solutions for a Changing Planet","Institute for Sustainable Development and International Relations","Institute for Sustainable Development and International Relations","Institute_for_Sustainable_Development_and_International_Relations","https://wikipedia.org/wiki/Institute_for_Sustainable_Development_and_International_Relations",179,Climate Action: Solutions for a Changing Planet,Institute for Sustainable Development and International Relations,Institute for Sustainable Development and International Relations,Institute_for_Sustainable_Development_and_International_Relations,https://wikipedia.org/wiki/Institute_for_Sustainable_Development_and_International_Relations
"180","Climate Action: Solutions for a Changing Planet","Climate-KIC","Climate-KIC","Climate-KIC","https://wikipedia.org/wiki/Climate-KIC",180,Climate Action: Solutions for a Changing Planet,Climate-KIC,Climate-KIC,Climate-KIC,https://wikipedia.org/wiki/Climate-KIC
"181","Climate Action: Solutions for a Changing Planet","Department of Nuclear Science and Technology","Department of Nuclear Science and Technology","Department_of_Nuclear_Science_and_Technology","https://wikipedia.org/wiki/Department_of_Nuclear_Science_and_Technology",181,Climate Action: Solutions for a Changing Planet,Department of Nuclear Science and Technology,Department of Nuclear Science and Technology,Department_of_Nuclear_Science_and_Technology,https://wikipedia.org/wiki/Department_of_Nuclear_Science_and_Technology
"182","Climate Action: Solutions for a Changing Planet","Evolved Energy Research","Evolved Energy Research","Evolved_Energy_Research","https://wikipedia.org/wiki/Evolved_Energy_Research",182,Climate Action: Solutions for a Changing Planet,Evolved Energy Research,Evolved Energy Research,Evolved_Energy_Research,https://wikipedia.org/wiki/Evolved_Energy_Research
"183","Climate Action: Solutions for a Changing Planet","University of Delaware","University of Delaware","University_of_Delaware","https://wikipedia.org/wiki/University_of_Delaware",183,Climate Action: Solutions for a Changing Planet,University of Delaware,University of Delaware,University_of_Delaware,https://wikipedia.org/wiki/University_of_Delaware
"184","Climate Action: Solutions for a Changing Planet","Federal Government of the United States of America","Federal Government of the United States of America","Federal_Government_of_the_United_States_of_America","https://wikipedia.org/wiki/Federal_Government_of_the_United_States_of_America",184,Climate Action: Solutions for a Changing Planet,Federal Government of the United States of America,Federal Government of the United States of America,Federal_Government_of_the_United_States_of_America,https://wikipedia.org/wiki/Federal_Government_of_the_United_States_of_America
"185","Climate Action: Solutions for a Changing Planet","National Research University Higher School of Economics","National Research University Higher School of Economics","National_Research_University_Higher_School_of_Economics","https://wikipedia.org/wiki/National_Research_University_Higher_School_of_Economics",185,Climate Action: Solutions for a Changing Planet,National Research University Higher School of Economics,National Research University Higher School of Economics,National_Research_University_Higher_School_of_Economics,https://wikipedia.org/wiki/National_Research_University_Higher_School_of_Economics
"186","Climate Action: Solutions for a Changing Planet","United Technologies Research Center","United Technologies Research Center","United_Technologies_Research_Center","https://wikipedia.org/wiki/United_Technologies_Research_Center",186,Climate Action: Solutions for a Changing Planet,United Technologies Research Center,United Technologies Research Center,United_Technologies_Research_Center,https://wikipedia.org/wiki/United_Technologies_Research_Center
"187","Climate Action: Solutions for a Changing Planet","Monash University","Monash University","Monash_University","https://wikipedia.org/wiki/Monash_University",187,Climate Action: Solutions for a Changing Planet,Monash University,Monash University,Monash_University,https://wikipedia.org/wiki/Monash_University
"188","Climate Action: Solutions for a Changing Planet","National Wildlife Federation","National Wildlife Federation","National_Wildlife_Federation","https://wikipedia.org/wiki/National_Wildlife_Federation",188,Climate Action: Solutions for a Changing Planet,National Wildlife Federation,National Wildlife Federation,National_Wildlife_Federation,https://wikipedia.org/wiki/National_Wildlife_Federation
"189","Sustainable Cities","Indian Institute for Human Settlements","Indian Institute for Human Settlements","Indian_Institute_for_Human_Settlements","https://wikipedia.org/wiki/Indian_Institute_for_Human_Settlements",189,Sustainable Cities,Indian Institute for Human Settlements,Indian Institute for Human Settlements,Indian_Institute_for_Human_Settlements,https://wikipedia.org/wiki/Indian_Institute_for_Human_Settlements
"190","Sustainable Cities","Cities Alliance","Cities Alliance","Cities_Alliance","https://wikipedia.org/wiki/Cities_Alliance",190,Sustainable Cities,Cities Alliance,Cities Alliance,Cities_Alliance,https://wikipedia.org/wiki/Cities_Alliance
"191","Sustainable Cities","Middlesex University","Middlesex University","Middlesex_University","https://wikipedia.org/wiki/Middlesex_University",191,Sustainable Cities,Middlesex University,Middlesex University,Middlesex_University,https://wikipedia.org/wiki/Middlesex_University
"192","Sustainable Cities","UN-Habitat","UN-Habitat","UN-Habitat","https://wikipedia.org/wiki/UN-Habitat",192,Sustainable Cities,UN-Habitat,UN-Habitat,UN-Habitat,https://wikipedia.org/wiki/UN-Habitat
"193","Sustainable Cities","University of Pennsylvania","University of Pennsylvania","University_of_Pennsylvania","https://wikipedia.org/wiki/University_of_Pennsylvania",193,Sustainable Cities,University of Pennsylvania,University of Pennsylvania,University_of_Pennsylvania,https://wikipedia.org/wiki/University_of_Pennsylvania
"194","Sustainable Cities","Curtin University","Curtin University","Curtin_University","https://wikipedia.org/wiki/Curtin_University",194,Sustainable Cities,Curtin University,Curtin University,Curtin_University,https://wikipedia.org/wiki/Curtin_University
"195","Sustainable Cities","African Center for Cities","African Center for Cities","African_Center_for_Cities","https://wikipedia.org/wiki/African_Center_for_Cities",195,Sustainable Cities,African Center for Cities,African Center for Cities,African_Center_for_Cities,https://wikipedia.org/wiki/African_Center_for_Cities
"196","Sustainable Cities","New School","New School","New_School","https://wikipedia.org/wiki/New_School",196,Sustainable Cities,New School,New School,New_School,https://wikipedia.org/wiki/New_School
"197","Sustainable Cities","eThekwini Municipality (South Africa)","eThekwini Municipality (South Africa)","eThekwini_Municipality_(South_Africa)","https://wikipedia.org/wiki/eThekwini_Municipality_(South_Africa)",197,Sustainable Cities,eThekwini Municipality (South Africa),eThekwini Municipality (South Africa),eThekwini_Municipality_(South_Africa),https://wikipedia.org/wiki/eThekwini_Municipality_(South_Africa)
"198","Sustainable Cities","International Institute for Environmental Development","International Institute for Environmental Development","International_Institute_for_Environmental_Development","https://wikipedia.org/wiki/International_Institute_for_Environmental_Development",198,Sustainable Cities,International Institute for Environmental Development,International Institute for Environmental Development,International_Institute_for_Environmental_Development,https://wikipedia.org/wiki/International_Institute_for_Environmental_Development
"199","Sustainable Cities","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",199,Sustainable Cities,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"200","Sustainable Cities","Slum/Shack Dwellers International","Slum/Shack Dwellers International","Slum/Shack_Dwellers_International","https://wikipedia.org/wiki/Slum/Shack_Dwellers_International",200,Sustainable Cities,Slum/Shack Dwellers International,Slum/Shack Dwellers International,Slum/Shack_Dwellers_International,https://wikipedia.org/wiki/Slum/Shack_Dwellers_International
"201","Globalization: Past and Future","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",201,Globalization: Past and Future,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"202","Water: Addressing the Global Crisis","Stockholm International Water Institute","Stockholm International Water Institute","Stockholm_International_Water_Institute","https://wikipedia.org/wiki/Stockholm_International_Water_Institute",202,Water: Addressing the Global Crisis,Stockholm International Water Institute,Stockholm International Water Institute,Stockholm_International_Water_Institute,https://wikipedia.org/wiki/Stockholm_International_Water_Institute
"203","Water: Addressing the Global Crisis","UNESCO World Water Assessment Programme (WWAP)","UNESCO World Water Assessment Programme (WWAP)","UNESCO_World_Water_Assessment_Programme_(WWAP)","https://wikipedia.org/wiki/UNESCO_World_Water_Assessment_Programme_(WWAP)",203,Water: Addressing the Global Crisis,UNESCO World Water Assessment Programme (WWAP),UNESCO World Water Assessment Programme (WWAP),UNESCO_World_Water_Assessment_Programme_(WWAP),https://wikipedia.org/wiki/UNESCO_World_Water_Assessment_Programme_(WWAP)
"204","Water: Addressing the Global Crisis","Alliance for Global Water Adaptation","Alliance for Global Water Adaptation","Alliance_for_Global_Water_Adaptation","https://wikipedia.org/wiki/Alliance_for_Global_Water_Adaptation",204,Water: Addressing the Global Crisis,Alliance for Global Water Adaptation,Alliance for Global Water Adaptation,Alliance_for_Global_Water_Adaptation,https://wikipedia.org/wiki/Alliance_for_Global_Water_Adaptation
"205","Water: Addressing the Global Crisis","United Nations Development Programme","United Nations Development Programme","United_Nations_Development_Programme","https://wikipedia.org/wiki/United_Nations_Development_Programme",205,Water: Addressing the Global Crisis,United Nations Development Programme,United Nations Development Programme,United_Nations_Development_Programme,https://wikipedia.org/wiki/United_Nations_Development_Programme
"206","Water: Addressing the Global Crisis","Global Resilience Partnership","Global Resilience Partnership","Global_Resilience_Partnership","https://wikipedia.org/wiki/Global_Resilience_Partnership",206,Water: Addressing the Global Crisis,Global Resilience Partnership,Global Resilience Partnership,Global_Resilience_Partnership,https://wikipedia.org/wiki/Global_Resilience_Partnership
"207","Tech for Good: The Role of ICT in Achieving the SDGs","UNESCO Information for All Programme","UNESCO Information for All Programme","UNESCO_Information_for_All_Programme","https://wikipedia.org/wiki/UNESCO_Information_for_All_Programme",207,Tech for Good: The Role of ICT in Achieving the SDGs,UNESCO Information for All Programme,UNESCO Information for All Programme,UNESCO_Information_for_All_Programme,https://wikipedia.org/wiki/UNESCO_Information_for_All_Programme
"208","Tech for Good: The Role of ICT in Achieving the SDGs","UNESCO","UNESCO","UNESCO","https://wikipedia.org/wiki/UNESCO",208,Tech for Good: The Role of ICT in Achieving the SDGs,UNESCO,UNESCO,UNESCO,https://wikipedia.org/wiki/UNESCO
"209","Tech for Good: The Role of ICT in Achieving the SDGs","Office of the President of Uruguay","Office of the President of Uruguay","Office_of_the_President_of_Uruguay","https://wikipedia.org/wiki/Office_of_the_President_of_Uruguay",209,Tech for Good: The Role of ICT in Achieving the SDGs,Office of the President of Uruguay,Office of the President of Uruguay,Office_of_the_President_of_Uruguay,https://wikipedia.org/wiki/Office_of_the_President_of_Uruguay
"210","Tech for Good: The Role of ICT in Achieving the SDGs","International Telecommunication Union","International Telecommunication Union","International_Telecommunication_Union","https://wikipedia.org/wiki/International_Telecommunication_Union",210,Tech for Good: The Role of ICT in Achieving the SDGs,International Telecommunication Union,International Telecommunication Union,International_Telecommunication_Union,https://wikipedia.org/wiki/International_Telecommunication_Union
"211","Tech for Good: The Role of ICT in Achieving the SDGs","Millennium Promise Alliance","Millennium Promise Alliance","Millennium_Promise_Alliance","https://wikipedia.org/wiki/Millennium_Promise_Alliance",211,Tech for Good: The Role of ICT in Achieving the SDGs,Millennium Promise Alliance,Millennium Promise Alliance,Millennium_Promise_Alliance,https://wikipedia.org/wiki/Millennium_Promise_Alliance
"212","Tech for Good: The Role of ICT in Achieving the SDGs","Funda<U+653C><U+3E37><U+653C><U+3E33>o Getulio Vargas","Funda<U+653C><U+3E37><U+653C><U+3E33>o Getulio Vargas","Funda<U+653C><U+3E37><U+653C><U+3E33>o_Getulio_Vargas","https://wikipedia.org/wiki/Funda<U+653C><U+3E37><U+653C><U+3E33>o_Getulio_Vargas",212,Tech for Good: The Role of ICT in Achieving the SDGs,Funda<U+653C><U+3E37><U+653C><U+3E33>o Getulio Vargas,Funda<U+653C><U+3E37><U+653C><U+3E33>o Getulio Vargas,Funda<U+653C><U+3E37><U+653C><U+3E33>o_Getulio_Vargas,https://wikipedia.org/wiki/Funda<U+653C><U+3E37><U+653C><U+3E33>o_Getulio_Vargas
"213","Tech for Good: The Role of ICT in Achieving the SDGs","UN Statistics Division","UN Statistics Division","UN_Statistics_Division","https://wikipedia.org/wiki/UN_Statistics_Division",213,Tech for Good: The Role of ICT in Achieving the SDGs,UN Statistics Division,UN Statistics Division,UN_Statistics_Division,https://wikipedia.org/wiki/UN_Statistics_Division
"214","Tech for Good: The Role of ICT in Achieving the SDGs","Sustainable Development Solutions Network","Sustainable Development Solutions Network","Sustainable_Development_Solutions_Network","https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network",214,Tech for Good: The Role of ICT in Achieving the SDGs,Sustainable Development Solutions Network,Sustainable Development Solutions Network,Sustainable_Development_Solutions_Network,https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network
"215","Tech for Good: The Role of ICT in Achieving the SDGs","MIT","MIT","MIT","https://wikipedia.org/wiki/MIT",215,Tech for Good: The Role of ICT in Achieving the SDGs,MIT,MIT,MIT,https://wikipedia.org/wiki/MIT
"216","Tech for Good: The Role of ICT in Achieving the SDGs","University of Wollongong","University of Wollongong","University_of_Wollongong","https://wikipedia.org/wiki/University_of_Wollongong",216,Tech for Good: The Role of ICT in Achieving the SDGs,University of Wollongong,University of Wollongong,University_of_Wollongong,https://wikipedia.org/wiki/University_of_Wollongong
"217","Tech for Good: The Role of ICT in Achieving the SDGs","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",217,Tech for Good: The Role of ICT in Achieving the SDGs,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"218","Tech for Good: The Role of ICT in Achieving the SDGs","EkStep","EkStep","EkStep","https://wikipedia.org/wiki/EkStep",218,Tech for Good: The Role of ICT in Achieving the SDGs,EkStep,EkStep,EkStep,https://wikipedia.org/wiki/EkStep
"219","Tech for Good: The Role of ICT in Achieving the SDGs","Cetic.br","Cetic.br","Cetic.br","https://wikipedia.org/wiki/Cetic.br",219,Tech for Good: The Role of ICT in Achieving the SDGs,Cetic.br,Cetic.br,Cetic.br,https://wikipedia.org/wiki/Cetic.br
"220","Feeding a Hungry Planet","International Fertilizer Association","International Fertilizer Association","International_Fertilizer_Association","https://wikipedia.org/wiki/International_Fertilizer_Association",220,Feeding a Hungry Planet,International Fertilizer Association,International Fertilizer Association,International_Fertilizer_Association,https://wikipedia.org/wiki/International_Fertilizer_Association
"221","Feeding a Hungry Planet","Johns Hopkins University","Johns Hopkins University","Johns_Hopkins_University","https://wikipedia.org/wiki/Johns_Hopkins_University",221,Feeding a Hungry Planet,Johns Hopkins University,Johns Hopkins University,Johns_Hopkins_University,https://wikipedia.org/wiki/Johns_Hopkins_University
"222","Feeding a Hungry Planet","Wageningen University & Research","Wageningen University & Research","Wageningen_University_&_Research","https://wikipedia.org/wiki/Wageningen_University_&_Research",222,Feeding a Hungry Planet,Wageningen University & Research,Wageningen University & Research,Wageningen_University_&_Research,https://wikipedia.org/wiki/Wageningen_University_&_Research
"223","Feeding a Hungry Planet","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",223,Feeding a Hungry Planet,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"224","Feeding a Hungry Planet","Rothamsted Research","Rothamsted Research","Rothamsted_Research","https://wikipedia.org/wiki/Rothamsted_Research",224,Feeding a Hungry Planet,Rothamsted Research,Rothamsted Research,Rothamsted_Research,https://wikipedia.org/wiki/Rothamsted_Research
"225","Feeding a Hungry Planet","Tufts University","Tufts University","Tufts_University","https://wikipedia.org/wiki/Tufts_University",225,Feeding a Hungry Planet,Tufts University,Tufts University,Tufts_University,https://wikipedia.org/wiki/Tufts_University
"226","Feeding a Hungry Planet","Cornell University","Cornell University","Cornell_University","https://wikipedia.org/wiki/Cornell_University",226,Feeding a Hungry Planet,Cornell University,Cornell University,Cornell_University,https://wikipedia.org/wiki/Cornell_University
"227","Environmental Security and Sustaining Peace","United Nations Environment Programme","United Nations Environment Programme","United_Nations_Environment_Programme","https://wikipedia.org/wiki/United_Nations_Environment_Programme",227,Environmental Security and Sustaining Peace,United Nations Environment Programme,United Nations Environment Programme,United_Nations_Environment_Programme,https://wikipedia.org/wiki/United_Nations_Environment_Programme
"228","Environmental Security and Sustaining Peace","Environmental Law Institute","Environmental Law Institute","Environmental_Law_Institute","https://wikipedia.org/wiki/Environmental_Law_Institute",228,Environmental Security and Sustaining Peace,Environmental Law Institute,Environmental Law Institute,Environmental_Law_Institute,https://wikipedia.org/wiki/Environmental_Law_Institute
"229","Environmental Security and Sustaining Peace","University of California - Irvine","University of California - Irvine","University_of_California_-_Irvine","https://wikipedia.org/wiki/University_of_California_-_Irvine",229,Environmental Security and Sustaining Peace,University of California - Irvine,University of California - Irvine,University_of_California_-_Irvine,https://wikipedia.org/wiki/University_of_California_-_Irvine
"230","Environmental Security and Sustaining Peace","Duke University","Duke University","Duke_University","https://wikipedia.org/wiki/Duke_University",230,Environmental Security and Sustaining Peace,Duke University,Duke University,Duke_University,https://wikipedia.org/wiki/Duke_University
"231","Environmental Security and Sustaining Peace","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",231,Environmental Security and Sustaining Peace,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"232","The Korean Story: Secrets of an Economic Miracle","KDI School of Public Policy and Management","KDI School of Public Policy and Management","KDI_School_of_Public_Policy_and_Management","https://wikipedia.org/wiki/KDI_School_of_Public_Policy_and_Management",232,The Korean Story: Secrets of an Economic Miracle,KDI School of Public Policy and Management,KDI School of Public Policy and Management,KDI_School_of_Public_Policy_and_Management,https://wikipedia.org/wiki/KDI_School_of_Public_Policy_and_Management
"233","The Korean Story: Secrets of an Economic Miracle","SUNY","SUNY","SUNY","https://wikipedia.org/wiki/SUNY",233,The Korean Story: Secrets of an Economic Miracle,SUNY,SUNY,SUNY,https://wikipedia.org/wiki/SUNY
"234","The Korean Story: Secrets of an Economic Miracle","Academy of Korean Studies","Academy of Korean Studies","Academy_of_Korean_Studies","https://wikipedia.org/wiki/Academy_of_Korean_Studies",234,The Korean Story: Secrets of an Economic Miracle,Academy of Korean Studies,Academy of Korean Studies,Academy_of_Korean_Studies,https://wikipedia.org/wiki/Academy_of_Korean_Studies
"235","The Korean Story: Secrets of an Economic Miracle","Korea Women's Development Institute","Korea Women's Development Institute","Korea_Women's_Development_Institute","https://wikipedia.org/wiki/Korea_Women's_Development_Institute",235,The Korean Story: Secrets of an Economic Miracle,Korea Women's Development Institute,Korea Women's Development Institute,Korea_Women's_Development_Institute,https://wikipedia.org/wiki/Korea_Women's_Development_Institute
"236","The Korean Story: Secrets of an Economic Miracle","Seoul National University","Seoul National University","Seoul_National_University","https://wikipedia.org/wiki/Seoul_National_University",236,The Korean Story: Secrets of an Economic Miracle,Seoul National University,Seoul National University,Seoul_National_University,https://wikipedia.org/wiki/Seoul_National_University
"237","The Korean Story: Secrets of an Economic Miracle","Korea Transport Institute (KOTI)","Korea Transport Institute (KOTI)","Korea_Transport_Institute_(KOTI)","https://wikipedia.org/wiki/Korea_Transport_Institute_(KOTI)",237,The Korean Story: Secrets of an Economic Miracle,Korea Transport Institute (KOTI),Korea Transport Institute (KOTI),Korea_Transport_Institute_(KOTI),https://wikipedia.org/wiki/Korea_Transport_Institute_(KOTI)
"238","The Korean Story: Secrets of an Economic Miracle","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",238,The Korean Story: Secrets of an Economic Miracle,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"239","The Korean Story: Secrets of an Economic Miracle","Korea University","Korea University","Korea_University","https://wikipedia.org/wiki/Korea_University",239,The Korean Story: Secrets of an Economic Miracle,Korea University,Korea University,Korea_University,https://wikipedia.org/wiki/Korea_University
"240","Transforming Our World: Achieving the SDGs","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",240,Transforming Our World: Achieving the SDGs,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"241","Human Rights, Human Wrongs","Middlesex University","Middlesex University","Middlesex_University","https://wikipedia.org/wiki/Middlesex_University",241,Human Rights, Human Wrongs,Middlesex University,Middlesex University,Middlesex_University,https://wikipedia.org/wiki/Middlesex_University
"242","Planetary Boundaries and Human Opportunities","Stockholm Resilience Centre","Stockholm Resilience Centre","Stockholm_Resilience_Centre","https://wikipedia.org/wiki/Stockholm_Resilience_Centre",242,Planetary Boundaries and Human Opportunities,Stockholm Resilience Centre,Stockholm Resilience Centre,Stockholm_Resilience_Centre,https://wikipedia.org/wiki/Stockholm_Resilience_Centre
"243","Planetary Boundaries and Human Opportunities","Stellenbosch University","Stellenbosch University","Stellenbosch_University","https://wikipedia.org/wiki/Stellenbosch_University",243,Planetary Boundaries and Human Opportunities,Stellenbosch University,Stellenbosch University,Stellenbosch_University,https://wikipedia.org/wiki/Stellenbosch_University
"244","Planetary Boundaries and Human Opportunities","Stockholm University","Stockholm University","Stockholm_University","https://wikipedia.org/wiki/Stockholm_University",244,Planetary Boundaries and Human Opportunities,Stockholm University,Stockholm University,Stockholm_University,https://wikipedia.org/wiki/Stockholm_University
"245","Global Public Health","Public Health Foundation of India","Public Health Foundation of India","Public_Health_Foundation_of_India","https://wikipedia.org/wiki/Public_Health_Foundation_of_India",245,Global Public Health,Public Health Foundation of India,Public Health Foundation of India,Public_Health_Foundation_of_India,https://wikipedia.org/wiki/Public_Health_Foundation_of_India
"246","Global Public Health","Chatham House","Chatham House","Chatham_House","https://wikipedia.org/wiki/Chatham_House",246,Global Public Health,Chatham House,Chatham House,Chatham_House,https://wikipedia.org/wiki/Chatham_House
"247","Global Public Health","Harvard University","Harvard University","Harvard_University","https://wikipedia.org/wiki/Harvard_University",247,Global Public Health,Harvard University,Harvard University,Harvard_University,https://wikipedia.org/wiki/Harvard_University
"248","Global Public Health","All India Institutes of Medical Sciences","All India Institutes of Medical Sciences","All_India_Institutes_of_Medical_Sciences","https://wikipedia.org/wiki/All_India_Institutes_of_Medical_Sciences",248,Global Public Health,All India Institutes of Medical Sciences,All India Institutes of Medical Sciences,All_India_Institutes_of_Medical_Sciences,https://wikipedia.org/wiki/All_India_Institutes_of_Medical_Sciences
"249","Climate Change Science & Negotiations","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",249,Climate Change Science & Negotiations,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
"250","Climate Change Science & Negotiations","European Climate Foundation","European Climate Foundation","European_Climate_Foundation","https://wikipedia.org/wiki/European_Climate_Foundation",250,Climate Change Science & Negotiations,European Climate Foundation,European Climate Foundation,European_Climate_Foundation,https://wikipedia.org/wiki/European_Climate_Foundation
"251","From the Ground Up: Managing our Terrestrial Ecosystems","FAS - Funda<U+653C><U+3E37><U+653C><U+3E33>o Amazonas Sustent<U+653C><U+3E31>vel<U+613C><U+3E30> (Amazonas Sustainable Foundation)","FAS - Funda<U+653C><U+3E37><U+653C><U+3E33>o Amazonas Sustent<U+653C><U+3E31>vel<U+613C><U+3E30> (Amazonas Sustainable Foundation)","FAS_-_Funda<U+653C><U+3E37><U+653C><U+3E33>o_Amazonas_Sustent<U+653C><U+3E31>vel<U+613C><U+3E30>_(Amazonas_Sustainable_Foundation)","https://wikipedia.org/wiki/FAS_-_Funda<U+653C><U+3E37><U+653C><U+3E33>o_Amazonas_Sustent<U+653C><U+3E31>vel<U+613C><U+3E30>_(Amazonas_Sustainable_Foundation)",251,From the Ground Up: Managing our Terrestrial Ecosystems,FAS - Funda<U+653C><U+3E37><U+653C><U+3E33>o Amazonas Sustent<U+653C><U+3E31>vel<U+613C><U+3E30> (Amazonas Sustainable Foundation),FAS - Funda<U+653C><U+3E37><U+653C><U+3E33>o Amazonas Sustent<U+653C><U+3E31>vel<U+613C><U+3E30> (Amazonas Sustainable Foundation),FAS_-_Funda<U+653C><U+3E37><U+653C><U+3E33>o_Amazonas_Sustent<U+653C><U+3E31>vel<U+613C><U+3E30>_(Amazonas_Sustainable_Foundation),https://wikipedia.org/wiki/FAS_-_Funda<U+653C><U+3E37><U+653C><U+3E33>o_Amazonas_Sustent<U+653C><U+3E31>vel<U+613C><U+3E30>_(Amazonas_Sustainable_Foundation)
"252","From the Ground Up: Managing our Terrestrial Ecosystems","George Mason University","George Mason University","George_Mason_University","https://wikipedia.org/wiki/George_Mason_University",252,From the Ground Up: Managing our Terrestrial Ecosystems,George Mason University,George Mason University,George_Mason_University,https://wikipedia.org/wiki/George_Mason_University
"253","From the Ground Up: Managing our Terrestrial Ecosystems","Columbia University","Columbia University","Columbia_University","https://wikipedia.org/wiki/Columbia_University",253,From the Ground Up: Managing our Terrestrial Ecosystems,Columbia University,Columbia University,Columbia_University,https://wikipedia.org/wiki/Columbia_University
