"","titles","authors","au_category","piece","weblink","id.id","id.titles","id.authors","id.au_category","id.piece","id.weblink"
"30","Global Energy and Climate Policy","SOAS University of London","SOAS University of London","SOAS_University_of_London","https://wikipedia.org/wiki/SOAS_University_of_London", 30,Global Energy and Climate Policy,SOAS University of London,SOAS University of London,SOAS_University_of_London,https://wikipedia.org/wiki/SOAS_University_of_London
"31","Our Energy Future","University of California San Diego","University of California San Diego","University_of_California_San_Diego","https://wikipedia.org/wiki/University_of_California_San_Diego", 31,Our Energy Future,University of California San Diego,University of California San Diego,University_of_California_San_Diego,https://wikipedia.org/wiki/University_of_California_San_Diego
"32","Ecological and Energy Transitions in Southern Countries","<U+633C><U+3E39>cole normale sup<U+653C><U+3E39>rieure","<U+633C><U+3E39>cole normale sup<U+653C><U+3E39>rieure","<U+633C><U+3E39>cole_normale_sup<U+653C><U+3E39>rieure","https://wikipedia.org/wiki/<U+633C><U+3E39>cole_normale_sup<U+653C><U+3E39>rieure", 32,Ecological and Energy Transitions in Southern Countries,<U+633C><U+3E39>cole normale sup<U+653C><U+3E39>rieure,<U+633C><U+3E39>cole normale sup<U+653C><U+3E39>rieure,<U+633C><U+3E39>cole_normale_sup<U+653C><U+3E39>rieure,https://wikipedia.org/wiki/<U+633C><U+3E39>cole_normale_sup<U+653C><U+3E39>rieure
"33","Integrated policies and policy coherence for SDGs","UNITAR","UNITAR","UNITAR","https://wikipedia.org/wiki/UNITAR", 33,Integrated policies and policy coherence for SDGs,UNITAR,UNITAR,UNITAR,https://wikipedia.org/wiki/UNITAR
"34","Integrated policies and policy coherence for SDGs","UN DESA","UN DESA","UN_DESA","https://wikipedia.org/wiki/UN_DESA", 34,Integrated policies and policy coherence for SDGs,UN DESA,UN DESA,UN_DESA,https://wikipedia.org/wiki/UN_DESA
"35","Integrated policies and policy coherence for SDGs","ECLAC","ECLAC","ECLAC","https://wikipedia.org/wiki/ECLAC", 35,Integrated policies and policy coherence for SDGs,ECLAC,ECLAC,ECLAC,https://wikipedia.org/wiki/ECLAC
"36","Anti-Corruption in the context of the 2030 Agenda","UNSSC","UNSSC","UNSSC","https://wikipedia.org/wiki/UNSSC", 36,Anti-Corruption in the context of the 2030 Agenda,UNSSC,UNSSC,UNSSC,https://wikipedia.org/wiki/UNSSC
"37","Anti-Corruption in the context of the 2030 Agenda","UNDP","UNDP","UNDP","https://wikipedia.org/wiki/UNDP", 37,Anti-Corruption in the context of the 2030 Agenda,UNDP,UNDP,UNDP,https://wikipedia.org/wiki/UNDP
"38","SDG Primer","UNSSC","UNSSC","UNSSC","https://wikipedia.org/wiki/UNSSC", 38,SDG Primer,UNSSC,UNSSC,UNSSC,https://wikipedia.org/wiki/UNSSC
"39","SDG Primer","UNITAR","UNITAR","UNITAR","https://wikipedia.org/wiki/UNITAR", 39,SDG Primer,UNITAR,UNITAR,UNITAR,https://wikipedia.org/wiki/UNITAR
"40","SDG Primer","SDSN","SDSN","SDSN","https://wikipedia.org/wiki/SDSN", 40,SDG Primer,SDSN,SDSN,SDSN,https://wikipedia.org/wiki/SDSN
"41","SDG Primer","UNDCO","UNDCO","UNDCO","https://wikipedia.org/wiki/UNDCO", 41,SDG Primer,UNDCO,UNDCO,UNDCO,https://wikipedia.org/wiki/UNDCO
"42","Policy Coherence for Sustainable Development","UNSSC","UNSSC","UNSSC","https://wikipedia.org/wiki/UNSSC", 42,Policy Coherence for Sustainable Development,UNSSC,UNSSC,UNSSC,https://wikipedia.org/wiki/UNSSC
"43","Policy Coherence for Sustainable Development","OECD_PCSD","OECD_PCSD","OECD_PCSD","https://wikipedia.org/wiki/OECD_PCSD", 43,Policy Coherence for Sustainable Development,OECD_PCSD,OECD_PCSD,OECD_PCSD,https://wikipedia.org/wiki/OECD_PCSD
"44","Policy Coherence for Sustainable Development","LKYSPP","LKYSPP","LKYSPP","https://wikipedia.org/wiki/LKYSPP", 44,Policy Coherence for Sustainable Development,LKYSPP,LKYSPP,LKYSPP,https://wikipedia.org/wiki/LKYSPP
"45","Policy Coherence for Sustainable Development","Hertie School","Hertie School","Hertie_School","https://wikipedia.org/wiki/Hertie_School", 45,Policy Coherence for Sustainable Development,Hertie School,Hertie School,Hertie_School,https://wikipedia.org/wiki/Hertie_School
"46","Introduction to the SEEA Central Framework","United Nations Statistics Division","United Nations Statistics Division","United_Nations_Statistics_Division","https://wikipedia.org/wiki/United_Nations_Statistics_Division", 46,Introduction to the SEEA Central Framework,United Nations Statistics Division,United Nations Statistics Division,United_Nations_Statistics_Division,https://wikipedia.org/wiki/United_Nations_Statistics_Division
"47","LEiP","UNITAR","UNITAR","UNITAR","https://wikipedia.org/wiki/UNITAR", 47,LEiP,UNITAR,UNITAR,UNITAR,https://wikipedia.org/wiki/UNITAR
"48","LEiP","MI","MI","MI","https://wikipedia.org/wiki/MI", 48,LEiP,MI,MI,MI,https://wikipedia.org/wiki/MI
"49","Circular Economy and the 2030 Agenda","UNSSC","UNSSC","UNSSC","https://wikipedia.org/wiki/UNSSC", 49,Circular Economy and the 2030 Agenda,UNSSC,UNSSC,UNSSC,https://wikipedia.org/wiki/UNSSC
"50","Circular Economy and the 2030 Agenda","UNEP","UNEP","UNEP","https://wikipedia.org/wiki/UNEP", 50,Circular Economy and the 2030 Agenda,UNEP,UNEP,UNEP,https://wikipedia.org/wiki/UNEP
"51","SEEA Experimental Ecosystem Accounting","United Nations Statistics Division","United Nations Statistics Division","United_Nations_Statistics_Division","https://wikipedia.org/wiki/United_Nations_Statistics_Division", 51,SEEA Experimental Ecosystem Accounting,United Nations Statistics Division,United Nations Statistics Division,United_Nations_Statistics_Division,https://wikipedia.org/wiki/United_Nations_Statistics_Division
"52","SDG Lab Toolkit","SDG Lab","SDG Lab","SDG_Lab","https://wikipedia.org/wiki/SDG_Lab", 52,SDG Lab Toolkit,SDG Lab,SDG Lab,SDG_Lab,https://wikipedia.org/wiki/SDG_Lab
"53","SDG Lab Toolkit","UNOG","UNOG","UNOG","https://wikipedia.org/wiki/UNOG", 53,SDG Lab Toolkit,UNOG,UNOG,UNOG,https://wikipedia.org/wiki/UNOG
"54","UN Strategic Communications for the 2030 Agenda","United Nations System Staff College","United Nations System Staff College","United_Nations_System_Staff_College","https://wikipedia.org/wiki/United_Nations_System_Staff_College", 54,UN Strategic Communications for the 2030 Agenda,United Nations System Staff College,United Nations System Staff College,United_Nations_System_Staff_College,https://wikipedia.org/wiki/United_Nations_System_Staff_College
"55","Social Protection for Sustainable Development","United Nations System Staff College","United Nations System Staff College","United_Nations_System_Staff_College","https://wikipedia.org/wiki/United_Nations_System_Staff_College", 55,Social Protection for Sustainable Development,United Nations System Staff College,United Nations System Staff College,United_Nations_System_Staff_College,https://wikipedia.org/wiki/United_Nations_System_Staff_College
"56","SEEA: In-depth Training on Water Accounting","United Nations Statistics Division","United Nations Statistics Division","United_Nations_Statistics_Division","https://wikipedia.org/wiki/United_Nations_Statistics_Division", 56,SEEA: In-depth Training on Water Accounting,United Nations Statistics Division,United Nations Statistics Division,United_Nations_Statistics_Division,https://wikipedia.org/wiki/United_Nations_Statistics_Division
"57","Policy cycle, integrated approaches and SDGs","United Nations Institute for Training and Research","United Nations Institute for Training and Research","United_Nations_Institute_for_Training_and_Research","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research", 57,Policy cycle, integrated approaches and SDGs,United Nations Institute for Training and Research,United Nations Institute for Training and Research,United_Nations_Institute_for_Training_and_Research,https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research
"58","Policy Coherence and Systems Thinking for Sustainable Development","UNSSC","UNSSC","UNSSC","https://wikipedia.org/wiki/UNSSC", 58,Policy Coherence and Systems Thinking for Sustainable Development,UNSSC,UNSSC,UNSSC,https://wikipedia.org/wiki/UNSSC
"59","Policy Coherence and Systems Thinking for Sustainable Development","OECD_PCSD","OECD_PCSD","OECD_PCSD","https://wikipedia.org/wiki/OECD_PCSD", 59,Policy Coherence and Systems Thinking for Sustainable Development,OECD_PCSD,OECD_PCSD,OECD_PCSD,https://wikipedia.org/wiki/OECD_PCSD
"60","Policy Coherence and Systems Thinking for Sustainable Development","LKYSPP","LKYSPP","LKYSPP","https://wikipedia.org/wiki/LKYSPP", 60,Policy Coherence and Systems Thinking for Sustainable Development,LKYSPP,LKYSPP,LKYSPP,https://wikipedia.org/wiki/LKYSPP
"61","Policy Coherence and Systems Thinking for Sustainable Development","Hertie School","Hertie School","Hertie_School","https://wikipedia.org/wiki/Hertie_School", 61,Policy Coherence and Systems Thinking for Sustainable Development,Hertie School,Hertie School,Hertie_School,https://wikipedia.org/wiki/Hertie_School
"62","How to Achieve the SDGs","SDG Academy","SDG Academy","SDG_Academy","https://wikipedia.org/wiki/SDG_Academy", 62,How to Achieve the SDGs,SDG Academy,SDG Academy,SDG_Academy,https://wikipedia.org/wiki/SDG_Academy
"63","Integrated Economic Statistics to support 2008 SNA implementation","Statistical Institute for Asia and the Pacific","Statistical Institute for Asia and the Pacific","Statistical_Institute_for_Asia_and_the_Pacific","https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific", 63,Integrated Economic Statistics to support 2008 SNA implementation,Statistical Institute for Asia and the Pacific,Statistical Institute for Asia and the Pacific,Statistical_Institute_for_Asia_and_the_Pacific,https://wikipedia.org/wiki/Statistical_Institute_for_Asia_and_the_Pacific
"64","SEEA: In Depth Training on Energy Accounting","United Nations Statistics Division","United Nations Statistics Division","United_Nations_Statistics_Division","https://wikipedia.org/wiki/United_Nations_Statistics_Division", 64,SEEA: In Depth Training on Energy Accounting,United Nations Statistics Division,United Nations Statistics Division,United_Nations_Statistics_Division,https://wikipedia.org/wiki/United_Nations_Statistics_Division
"65","Preparing for Action <U+0093>National Briefing Package: The 2030 Agenda and SDGs<U+0094>","United Nations Institute for Training and Research","United Nations Institute for Training and Research","United_Nations_Institute_for_Training_and_Research","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research", 65,Preparing for Action <U+0093>National Briefing Package: The 2030 Agenda and SDGs<U+0094>,United Nations Institute for Training and Research,United Nations Institute for Training and Research,United_Nations_Institute_for_Training_and_Research,https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research
"66","Policy cycle, integrated approaches and SDGs for African LDCs","United Nations Institute for Training and Research","United Nations Institute for Training and Research","United_Nations_Institute_for_Training_and_Research","https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research", 66,Policy cycle, integrated approaches and SDGs for African LDCs,United Nations Institute for Training and Research,United Nations Institute for Training and Research,United_Nations_Institute_for_Training_and_Research,https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research
"67","Integration of the SDGs into National Planning","United Nations Economic and Social Commission for Asia and the Pacific","United Nations Economic and Social Commission for Asia and the Pacific","United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific","https://wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific", 67,Integration of the SDGs into National Planning,United Nations Economic and Social Commission for Asia and the Pacific,United Nations Economic and Social Commission for Asia and the Pacific,United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific,https://wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific
