"","titles","category","website","id.x","weblink","id.y","authors"
"30","The Executive Diploma","democratic institutions","https://www.unsdglearn.org/courses/unitars-executive-diploma-in-diplomatic-practice-6th-edition/",27,"https://www.unsdglearn.org/courses/unitars-executive-diploma-in-diplomatic-practice-6th-edition/","33","United Nations Institute for Training and Research, IUSTICOM, United Nations Institute for Training and Research, IUSTICOM"
"31","Human Rights, Environmental Protection and Climate Change","democratic institutions","https://www.unsdglearn.org/courses/human-rights-environmental-protection-and-climate-change-2021/",28,"https://www.unsdglearn.org/courses/human-rights-environmental-protection-and-climate-change-2021/","34","United Nations Department of Economic and Social Affairs, United Nations Institute for Training and Research, United Nations Department of Economic and Social Affairs, United Nations Institute for Training and Research"
"32","Remote Training on Phone Surveys","reflexivity and adaptation","https://www.unsdglearn.org/courses/remote-training-on-phone-surveys/",29,"https://www.unsdglearn.org/courses/remote-training-on-phone-surveys/","35","United Nations Institute for Training and Research, United Nations Institute for Training and Research"
"33","Law of Treaties – Extended Edition","democratic institutions","https://www.unsdglearn.org/courses/law-of-treaties-extended-edition-spring-2022/",30,"https://www.unsdglearn.org/courses/law-of-treaties-extended-edition-spring-2022/","36","United Nations Statistics Division, United Nations Statistics Division"
"34","International Law and the United Nations System","democratic institutions","https://www.unsdglearn.org/courses/online-certificate-on-international-law-and-the-united-nations-system/",31,"https://www.unsdglearn.org/courses/online-certificate-on-international-law-and-the-united-nations-system/","37","United Nations Global Compact Academy, United Nations Global Compact Academy"
"35","Law of International Organizations – Extended Edition","democratic institutions","https://www.unsdglearn.org/courses/law-of-international-organizations-extended-edition-spring-2022/",32,"https://www.unsdglearn.org/courses/law-of-international-organizations-extended-edition-spring-2022/","38","United Nations Economic and Social Commission for Asia and the Pacific, United Nations Economic and Social Commission for Asia and the Pacific"
"36","International Criminal Law and Transitional Justice","democratic institutions","https://www.unsdglearn.org/courses/executive-diploma-on-international-criminal-law-and-transitional-justice/",33,"https://www.unsdglearn.org/courses/executive-diploma-on-international-criminal-law-and-transitional-justice/","39","United Nations Global Compact Academy, Global Reporting Initiative, United Nations Global Compact Academy, Global Reporting Initiative"
"37","Infrastructure Asset Management for Sustainable Development","reflexivity and adaptation","https://www.unsdglearn.org/courses/infrastructure-asset-management-for-sustainable-development/",34,"https://www.unsdglearn.org/courses/infrastructure-asset-management-for-sustainable-development/","4","UN CC:Learn, United Nations Institute for Training and Research, World Meteorological Organization, UN CC:Learn, United Nations Institute for Training and Research, World Meteorological Organization"
"38","Policy cycle, integrated approaches and SDGs","policy coherence","https://www.unsdglearn.org/courses/policy-cycle-integrated-approaches-and-sdgs/",35,"https://www.unsdglearn.org/courses/policy-cycle-integrated-approaches-and-sdgs/","40","United Nations Statistics Division, United Nations Statistics Division"
"39","SEEA Experimental Ecosystem Accounting","reflexivity and adaptation","https://www.unsdglearn.org/courses/seea-experimental-ecosystem-accounting/",36,"https://www.unsdglearn.org/courses/seea-experimental-ecosystem-accounting/","41","United Nations Institute for Training and Research, Millennium Institute, United Nations Institute for Training and Research, Millennium Institute"
"40","How to Align Your Business Strategy with the Global Goals","policy coherence","https://www.unsdglearn.org/courses/how-to-align-your-business-strategy-with-the-global-goals/",37,"https://www.unsdglearn.org/courses/how-to-align-your-business-strategy-with-the-global-goals/","42","United Nations Statistics Division, United Nations Statistics Division"
"41","Integration of the SDGs into National Planning","policy coherence","https://www.unsdglearn.org/courses/integration-of-the-sdgs-into-national-planning/",38,"https://www.unsdglearn.org/courses/integration-of-the-sdgs-into-national-planning/","43","United Nations Institute for Training and Research, United Nations Institute for Training and Research"
"42","Three Steps to Integrating the Global Goals into Corporate Reporting","policy coherence","https://www.unsdglearn.org/courses/three-steps-to-integrating-the-global-goals-into-corporate-reporting/",39,"https://www.unsdglearn.org/courses/three-steps-to-integrating-the-global-goals-into-corporate-reporting/","44","United Nations Statistics Division, United Nations Statistics Division"
"43","SEEA: In-depth Training on Water Accounting","reflexivity and adaptation","https://www.unsdglearn.org/courses/seea-in-depth-training-on-water-accounting/",40,"https://www.unsdglearn.org/courses/seea-in-depth-training-on-water-accounting/","45","SDG Academy, SDG Academy"
"44","LEiP","policy coherence","https://www.unsdglearn.org/courses/learning-environment-for-integrated-planning/",41,"https://www.unsdglearn.org/courses/learning-environment-for-integrated-planning/","46","Statistical Institute for Asia and the Pacific, Statistical Institute for Asia and the Pacific"
