weblink_au,category
https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_di_Macerata,public university
https://wikipedia.org/wiki/Gustolab_International,private university
https://wikipedia.org/wiki/Health_Tech,research & policy institutes
https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Tuscia,public university
https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Napoli_Federico_II,public university
https://wikipedia.org/wiki/Water_Observatory,ngo
https://wikipedia.org/wiki/Universit<U+653C><U+3E39>_de_Sousse,public university
https://wikipedia.org/wiki/Universit<U+653C><U+3E30>_degli_Studi_di_Siena,public university
https://wikipedia.org/wiki/International_Ocean_Institute,ngo
https://wikipedia.org/wiki/Federal_Government_of_Chile,government
https://wikipedia.org/wiki/University_of_California_-_San_Francisco,public university
https://wikipedia.org/wiki/Institute_for_Sustainable_Development_and_International_Relations,research & policy institutes
https://wikipedia.org/wiki/Climate-KIC,government
https://wikipedia.org/wiki/Department_of_Nuclear_Science_and_Technology,un
https://wikipedia.org/wiki/Evolved_Energy_Research,research & policy institutes
https://wikipedia.org/wiki/Federal_Government_of_the_United_States_of_America,government
https://wikipedia.org/wiki/United_Technologies_Research_Center,research & policy institutes
https://wikipedia.org/wiki/Indian_Institute_for_Human_Settlements,public university
https://wikipedia.org/wiki/African_Center_for_Cities,public university
https://wikipedia.org/wiki/eThekwini_Municipality_(South_Africa),government
https://wikipedia.org/wiki/International_Institute_for_Environmental_Development,research & policy institutes
https://wikipedia.org/wiki/Slum/Shack_Dwellers_International,ngo
https://wikipedia.org/wiki/UNESCO_World_Water_Assessment_Programme_(WWAP),un
https://wikipedia.org/wiki/Alliance_for_Global_Water_Adaptation,ngo
https://wikipedia.org/wiki/UNESCO_World_Water_Assessment_Programme_(WWAP),un
https://wikipedia.org/wiki/Global_Resilience_Partnership,ngo
https://wikipedia.org/wiki/UNESCO_Information_for_All_Programme,un
https://wikipedia.org/wiki/Office_of_the_President_of_Uruguay,government
https://wikipedia.org/wiki/Millennium_Promise_Alliance,ngo
https://wikipedia.org/wiki/Funda<U+653C><U+3E37><U+653C><U+3E33>o_Getulio_Vargas,research & policy institutes
https://wikipedia.org/wiki/UN_Statistics_Division,un
https://wikipedia.org/wiki/EkStep,ngo
https://wikipedia.org/wiki/Cetic.br,un
https://wikipedia.org/wiki/International_Fertilizer_Association,business
https://wikipedia.org/wiki/Korea_Women's_Development_Institute,government
https://wikipedia.org/wiki/Korea_Transport_Institute_(KOTI),government
